Warehouse_block,Shipment_mode,Customer_care_calls,Customer_rating,Product_Cost,Prior_purchases,Product_importance,Gender,Discount_offered,Weights_gms,Delivery_status,Delay_flag,Discount_category,Weight_Category
D,Ship,3,4,266,2,medium,F,38,2741,On Time,0,High,Light
F,Ship,5,3,257,2,low,F,61,3341,On Time,0,High,Medium
A,Ship,3,1,223,3,low,F,22,3795,On Time,0,Medium,Medium
B,Ship,4,2,234,3,medium,M,4,3261,On Time,0,Low,Medium
C,Ship,4,2,227,4,medium,F,22,2460,On Time,0,Medium,Light
F,Ship,5,4,149,3,medium,F,44,1811,On Time,0,High,Light
D,Ship,3,5,137,4,high,F,62,1477,On Time,0,High,Light
F,Ship,2,4,181,6,medium,F,16,3605,On Time,0,Medium,Medium
A,Ship,5,1,215,4,low,F,56,3905,On Time,0,High,Medium
B,Ship,4,2,269,5,low,F,45,2383,On Time,0,High,Light
C,Ship,5,1,227,2,low,M,15,3798,On Time,0,Medium,Medium
F,Ship,5,5,139,4,medium,M,61,1265,On Time,0,High,Light
D,Ship,3,5,137,2,medium,M,38,1647,On Time,0,High,Light
F,Ship,3,1,174,2,low,M,44,1556,On Time,0,High,Light
A,Ship,3,1,151,2,low,M,29,1328,On Time,0,Medium,Light
B,Ship,5,1,210,3,low,F,9,2944,On Time,0,Low,Light
C,Ship,3,4,169,4,medium,F,32,1245,On Time,0,High,Light
F,Ship,5,1,160,2,low,M,32,1576,On Time,0,High,Light
D,Ship,5,4,190,2,medium,M,9,3753,On Time,0,Low,Medium
F,Ship,5,3,216,3,low,F,40,2146,On Time,0,High,Light
A,Ship,4,1,183,3,low,M,37,2042,On Time,0,High,Light
B,Ship,4,4,141,3,low,M,22,1735,On Time,0,Medium,Light
C,Ship,4,3,165,3,low,F,44,1320,On Time,0,High,Light
F,Ship,2,1,170,3,low,M,41,1128,On Time,0,High,Light
D,Ship,4,3,203,3,high,M,12,3539,On Time,0,Medium,Medium
F,Ship,2,5,246,5,low,M,46,2437,On Time,0,High,Light
A,Ship,3,3,238,3,low,F,61,3096,On Time,0,High,Medium
B,Ship,3,3,193,3,medium,F,29,3453,On Time,0,Medium,Medium
C,Ship,5,5,141,3,high,M,41,1367,On Time,0,High,Light
F,Ship,4,1,150,3,high,F,17,1923,On Time,0,Medium,Light
D,Ship,3,1,221,3,low,F,64,2794,On Time,0,High,Light
F,Ship,3,3,179,3,medium,M,52,1158,On Time,0,High,Light
A,Ship,5,1,105,6,medium,M,62,1292,On Time,0,High,Light
B,Ship,3,1,177,3,medium,M,61,1880,On Time,0,High,Light
C,Ship,4,5,261,2,high,M,49,3045,On Time,0,High,Medium
F,Ship,3,2,202,3,low,M,49,2881,On Time,0,High,Light
D,Ship,3,2,109,3,medium,F,15,1710,On Time,0,Medium,Light
F,Ship,3,3,158,3,low,F,6,1878,On Time,0,Low,Light
A,Ship,4,2,231,4,medium,F,6,2512,On Time,0,Low,Light
B,Ship,3,5,206,3,medium,M,39,2929,On Time,0,High,Light
C,Ship,5,1,187,4,high,M,14,3849,On Time,0,Medium,Medium
F,Ship,5,5,230,2,low,F,2,2229,On Time,0,Low,Light
D,Ship,5,5,232,3,medium,F,33,2998,On Time,0,High,Light
F,Ship,4,5,215,3,medium,F,21,3984,On Time,0,Medium,Medium
A,Ship,6,1,238,6,low,F,13,2442,On Time,0,Medium,Light
B,Ship,4,1,266,3,low,F,23,3775,On Time,0,Medium,Medium
C,Ship,2,3,158,2,medium,F,36,1788,On Time,0,High,Light
F,Ship,3,3,113,3,low,F,43,1518,On Time,0,High,Light
D,Ship,3,4,223,3,low,M,18,3959,On Time,0,Medium,Medium
F,Ship,3,5,257,2,medium,F,56,3711,On Time,0,High,Medium
A,Ship,3,4,180,2,medium,F,49,1942,On Time,0,High,Light
B,Ship,2,5,132,3,low,M,18,1759,On Time,0,Medium,Light
C,Ship,4,4,217,3,high,F,26,2875,On Time,0,Medium,Light
F,Ship,5,5,162,3,high,F,31,1364,On Time,0,High,Light
D,Ship,4,5,197,2,medium,F,40,2710,On Time,0,High,Light
F,Ship,3,4,197,3,medium,M,13,2148,On Time,0,Medium,Light
A,Ship,4,1,185,2,low,M,44,2910,On Time,0,High,Light
B,Ship,6,2,278,3,medium,F,3,2974,On Time,0,Low,Light
C,Ship,3,3,229,3,low,M,49,2339,On Time,0,High,Light
F,Ship,4,1,186,4,medium,F,57,3880,On Time,0,High,Medium
D,Ship,5,3,174,6,high,F,41,1085,On Time,0,High,Light
F,Ship,5,5,286,3,low,F,18,3163,On Time,0,Medium,Medium
A,Ship,4,4,175,2,medium,F,7,1188,On Time,0,Low,Light
B,Ship,3,3,219,3,medium,F,17,3387,On Time,0,Medium,Medium
C,Ship,4,1,213,4,high,F,35,2343,On Time,0,High,Light
F,Ship,2,3,235,3,low,M,57,2034,On Time,0,High,Light
D,Ship,3,3,149,2,medium,M,18,1225,On Time,0,Medium,Light
F,Ship,4,1,271,2,medium,F,8,2401,On Time,0,Low,Light
A,Ship,3,5,144,4,medium,M,5,1104,On Time,0,Low,Light
B,Ship,4,2,145,2,medium,M,21,1617,On Time,0,Medium,Light
C,Ship,5,3,143,2,medium,M,59,1837,On Time,0,High,Light
F,Ship,5,5,227,4,low,M,53,2624,On Time,0,High,Light
D,Ship,2,1,213,3,low,M,29,2732,On Time,0,Medium,Light
F,Ship,5,1,144,4,low,M,37,1658,On Time,0,High,Light
A,Ship,3,3,218,3,low,M,3,2255,On Time,0,Low,Light
B,Ship,4,2,144,3,medium,M,59,1588,On Time,0,High,Light
C,Ship,3,1,238,3,low,M,17,2624,On Time,0,Medium,Light
F,Ship,4,5,216,3,high,M,26,2053,On Time,0,Medium,Light
D,Ship,4,5,238,3,high,F,55,3257,On Time,0,High,Medium
F,Ship,4,1,141,3,medium,M,47,1250,On Time,0,High,Light
A,Road,3,1,158,2,low,M,2,1284,On Time,0,Low,Light
B,Road,4,2,239,3,low,F,65,3679,On Time,0,High,Medium
C,Road,4,3,175,2,low,M,25,1816,On Time,0,Medium,Light
F,Road,3,2,263,3,low,M,41,2817,On Time,0,High,Light
D,Road,3,5,168,2,high,M,50,1616,On Time,0,High,Light
F,Road,3,4,176,3,high,M,36,1779,On Time,0,High,Light
A,Road,4,1,150,4,high,M,60,1024,On Time,0,High,Light
B,Road,4,3,265,2,medium,F,31,2326,On Time,0,High,Light
C,Road,2,5,263,3,low,F,5,2947,On Time,0,Low,Light
F,Road,5,1,145,3,low,M,20,1387,On Time,0,Medium,Light
D,Road,4,2,183,3,low,F,33,2741,On Time,0,High,Light
F,Road,3,3,205,3,medium,F,19,2167,On Time,0,Medium,Light
A,Road,4,2,160,3,low,M,64,1714,On Time,0,High,Light
B,Road,3,3,252,2,medium,F,48,2102,On Time,0,High,Light
C,Road,5,5,222,3,low,M,10,2280,On Time,0,Low,Light
F,Road,3,3,203,2,low,M,25,3607,On Time,0,Medium,Medium
D,Road,4,5,220,3,medium,M,40,3516,On Time,0,High,Medium
F,Road,3,3,147,4,low,F,60,1722,On Time,0,High,Light
A,Road,4,4,200,4,medium,M,16,2060,On Time,0,Medium,Light
B,Road,4,5,224,4,medium,M,21,2026,On Time,0,Medium,Light
C,Road,3,5,179,2,low,F,17,1364,On Time,0,Medium,Light
F,Road,3,4,144,3,low,M,50,1865,On Time,0,High,Light
D,Flight,5,2,247,3,low,M,17,3889,On Time,0,Medium,Medium
F,Flight,5,4,280,6,medium,F,51,3582,On Time,0,High,Medium
A,Flight,3,3,168,2,medium,F,1,1829,On Time,0,Low,Light
B,Flight,3,5,157,3,medium,F,4,1889,On Time,0,Low,Light
C,Flight,3,3,189,4,medium,F,51,2208,On Time,0,High,Light
F,Flight,3,5,162,2,medium,M,7,1739,On Time,0,Low,Light
D,Flight,4,1,207,5,low,M,48,2399,On Time,0,High,Light
F,Flight,5,1,237,2,low,F,10,3860,On Time,0,Low,Medium
A,Flight,4,4,264,3,high,M,59,2020,On Time,0,High,Light
B,Flight,5,4,149,3,low,M,51,1645,On Time,0,High,Light
C,Flight,5,5,162,3,low,M,41,1462,On Time,0,High,Light
F,Flight,2,1,205,4,medium,F,63,2156,On Time,0,High,Light
D,Flight,2,1,158,3,medium,F,51,1540,On Time,0,High,Light
F,Flight,2,2,248,2,low,M,46,3707,On Time,0,High,Medium
A,Flight,3,5,191,3,low,M,23,3750,On Time,0,Medium,Medium
B,Flight,4,3,146,4,medium,F,24,1844,On Time,0,Medium,Light
C,Flight,3,3,135,3,low,M,56,1490,On Time,0,High,Light
F,Flight,5,1,149,3,low,M,40,1062,On Time,0,High,Light
D,Flight,4,4,220,2,medium,F,7,2551,On Time,0,Low,Light
F,Flight,5,3,98,5,medium,M,44,1269,On Time,0,High,Light
A,Flight,3,4,97,4,low,M,32,1238,On Time,0,High,Light
B,Flight,3,3,183,2,low,M,53,3932,On Time,0,High,Medium
C,Ship,3,3,162,3,medium,F,8,1869,On Time,0,Low,Light
F,Ship,5,1,114,4,low,F,47,1443,On Time,0,High,Light
D,Ship,6,3,275,5,low,M,41,2491,On Time,0,High,Light
F,Ship,3,2,203,2,medium,F,39,3845,On Time,0,High,Medium
A,Ship,5,5,205,2,high,M,65,3671,On Time,0,High,Medium
B,Ship,3,3,149,3,low,F,63,1946,On Time,0,High,Light
C,Ship,2,2,112,4,medium,M,56,1138,On Time,0,High,Light
F,Ship,3,1,207,3,medium,F,56,3482,On Time,0,High,Medium
D,Ship,4,1,261,4,low,F,58,3427,On Time,0,High,Medium
F,Ship,5,2,274,3,medium,M,6,3375,On Time,0,Low,Medium
A,Ship,3,5,141,2,low,M,52,1692,On Time,0,High,Light
B,Ship,3,3,166,4,medium,F,17,1498,On Time,0,Medium,Light
C,Ship,5,2,141,3,high,F,34,1020,On Time,0,High,Light
F,Ship,4,5,152,3,low,M,43,1709,On Time,0,High,Light
D,Ship,4,2,250,3,low,F,53,2478,On Time,0,High,Light
F,Ship,4,3,161,3,medium,F,28,1809,On Time,0,Medium,Light
A,Ship,4,3,185,3,medium,F,10,2263,On Time,0,Low,Light
B,Ship,4,4,176,4,high,F,52,1096,On Time,0,High,Light
C,Ship,3,4,148,3,low,M,56,1550,On Time,0,High,Light
F,Ship,3,2,270,3,low,F,63,2751,On Time,0,High,Light
D,Ship,3,3,242,3,low,F,51,3935,On Time,0,High,Medium
F,Ship,4,4,150,2,medium,M,3,1285,On Time,0,Low,Light
A,Ship,4,5,192,3,high,M,20,3872,On Time,0,Medium,Medium
B,Ship,4,5,116,3,medium,M,54,1314,On Time,0,High,Light
C,Ship,3,3,192,3,medium,F,2,3995,On Time,0,Low,Medium
F,Ship,5,5,255,4,medium,M,3,3440,On Time,0,Low,Medium
D,Ship,4,1,161,7,medium,F,18,1294,On Time,0,Medium,Light
F,Ship,4,5,157,3,low,M,20,1487,On Time,0,Medium,Light
A,Ship,3,2,164,10,high,F,28,1940,On Time,0,Medium,Light
B,Ship,3,5,162,7,medium,F,16,1052,On Time,0,Medium,Light
C,Ship,3,3,146,2,low,M,50,1486,On Time,0,High,Light
F,Ship,3,2,209,3,medium,M,54,3001,On Time,0,High,Medium
D,Ship,5,4,134,2,medium,F,55,1386,On Time,0,High,Light
F,Ship,2,1,222,2,medium,M,5,3778,On Time,0,Low,Medium
A,Ship,2,5,139,3,low,F,27,1233,On Time,0,Medium,Light
B,Ship,2,4,134,3,low,F,42,1415,On Time,0,High,Light
C,Ship,2,5,130,3,low,M,16,1092,On Time,0,Medium,Light
F,Ship,2,5,133,3,low,F,62,1596,On Time,0,High,Light
D,Ship,2,4,140,3,low,F,7,1411,On Time,0,Low,Light
F,Ship,2,2,158,3,low,M,28,1968,On Time,0,Medium,Light
A,Ship,4,2,270,4,low,F,46,1736,On Time,0,High,Light
B,Ship,2,5,140,3,low,F,30,1030,On Time,0,Medium,Light
C,Ship,2,2,135,3,low,M,15,1339,On Time,0,Medium,Light
F,Ship,2,3,136,3,low,F,19,1568,On Time,0,Medium,Light
D,Ship,2,3,142,3,medium,F,38,7640,On Time,0,High,Heavy
F,Ship,2,2,154,3,medium,M,38,7846,On Time,0,High,Heavy
A,Ship,2,3,139,3,low,M,9,1471,On Time,0,Low,Light
B,Ship,2,3,160,3,low,F,43,1251,On Time,0,High,Light
C,Ship,2,4,134,3,low,M,58,1067,On Time,0,High,Light
F,Ship,5,3,161,5,high,M,48,1883,On Time,0,High,Light
D,Ship,2,5,155,3,low,M,23,1602,On Time,0,Medium,Light
F,Ship,2,3,145,3,medium,F,24,7588,On Time,0,Medium,Heavy
A,Ship,2,2,157,3,low,M,1,1477,On Time,0,Low,Light
B,Ship,2,2,160,3,low,M,48,1691,On Time,0,High,Light
C,Ship,2,4,152,3,low,M,55,1498,On Time,0,High,Light
F,Ship,2,5,148,3,high,F,11,1502,On Time,0,Medium,Light
D,Ship,2,1,127,3,low,F,15,1522,On Time,0,Medium,Light
F,Ship,2,5,154,3,low,F,21,1113,On Time,0,Medium,Light
A,Ship,2,5,127,3,low,M,44,1341,On Time,0,High,Light
B,Ship,2,5,160,3,medium,F,31,7401,On Time,0,High,Heavy
C,Ship,2,4,129,3,low,F,48,1219,On Time,0,High,Light
F,Ship,2,5,158,3,low,F,40,1722,On Time,0,High,Light
D,Ship,4,3,185,3,medium,M,3,3131,On Time,0,Low,Medium
F,Ship,4,4,176,4,high,F,63,1293,On Time,0,High,Light
A,Ship,3,4,148,3,low,M,37,1523,On Time,0,High,Light
B,Ship,3,5,270,3,low,M,60,3885,On Time,0,High,Medium
C,Ship,3,4,242,3,low,M,29,2381,On Time,0,Medium,Light
F,Ship,4,3,150,2,medium,M,31,1588,On Time,0,High,Light
D,Ship,4,2,192,3,high,M,4,2061,On Time,0,Low,Light
F,Ship,4,5,116,3,medium,F,9,1314,On Time,0,Low,Light
A,Ship,3,4,192,3,medium,F,31,3331,On Time,0,High,Medium
B,Ship,5,4,255,4,medium,F,38,2771,On Time,0,High,Light
C,Ship,4,3,161,7,medium,M,63,1496,On Time,0,High,Light
F,Ship,4,2,157,3,low,F,48,1393,On Time,0,High,Light
D,Ship,3,2,164,10,high,M,14,1375,On Time,0,Medium,Light
F,Ship,3,3,162,7,medium,F,42,1278,On Time,0,High,Light
A,Ship,3,1,146,2,low,F,54,1528,On Time,0,High,Light
B,Ship,3,4,209,3,medium,F,60,2240,On Time,0,High,Light
C,Ship,5,5,134,2,medium,M,53,1088,On Time,0,High,Light
F,Ship,2,1,222,2,medium,M,58,3626,On Time,0,High,Medium
D,Ship,2,1,139,3,low,F,39,1582,On Time,0,High,Light
F,Ship,2,2,134,3,low,M,38,1352,On Time,0,High,Light
A,Ship,2,3,130,3,low,F,48,1801,On Time,0,High,Light
B,Ship,2,2,133,3,low,M,5,1268,On Time,0,Low,Light
C,Ship,2,3,140,3,low,F,23,1372,On Time,0,Medium,Light
F,Ship,2,3,158,3,low,M,10,1515,On Time,0,Low,Light
D,Ship,4,5,270,4,low,M,65,1818,On Time,0,High,Light
F,Ship,2,4,140,3,low,F,33,1278,On Time,0,High,Light
A,Ship,2,2,135,3,low,M,58,1734,On Time,0,High,Light
B,Ship,2,4,136,3,low,M,43,1958,On Time,0,High,Light
C,Ship,2,1,142,3,medium,F,8,6064,On Time,0,Low,Heavy
F,Ship,2,4,154,3,medium,F,48,7684,On Time,0,High,Heavy
D,Ship,2,3,139,3,low,F,3,1788,On Time,0,Low,Light
F,Road,2,4,160,3,low,F,50,1030,On Time,0,High,Light
A,Road,2,2,134,3,low,F,38,1530,On Time,0,High,Light
B,Road,5,5,161,5,high,F,54,1511,On Time,0,High,Light
C,Road,2,3,155,3,low,F,45,1639,On Time,0,High,Light
F,Road,2,2,145,3,medium,F,5,6102,On Time,0,Low,Heavy
D,Road,2,1,157,3,low,M,58,1930,On Time,0,High,Light
F,Road,2,5,160,3,low,F,19,1399,On Time,0,Medium,Light
A,Road,2,2,152,3,low,F,61,1800,On Time,0,High,Light
B,Road,2,2,148,3,high,F,35,1349,On Time,0,High,Light
C,Road,2,2,127,3,low,M,13,1128,On Time,0,Medium,Light
F,Road,2,2,129,3,medium,F,22,6614,On Time,0,Medium,Heavy
D,Road,2,3,158,3,low,F,13,1245,On Time,0,Medium,Light
F,Road,2,4,147,3,low,M,5,1920,On Time,0,Low,Light
A,Road,2,5,159,3,low,F,49,1621,On Time,0,High,Light
B,Road,2,3,151,3,low,F,23,1930,On Time,0,Medium,Light
C,Road,3,1,294,4,low,F,52,1089,On Time,0,High,Light
F,Road,3,2,226,2,medium,M,45,1446,On Time,0,High,Light
D,Road,5,3,271,5,high,M,9,1813,On Time,0,Low,Light
F,Road,7,2,203,5,medium,F,61,1856,On Time,0,High,Light
A,Road,2,3,264,4,low,F,10,1648,On Time,0,Low,Light
B,Road,4,1,258,3,medium,M,36,2211,On Time,0,High,Light
C,Road,3,5,241,3,low,F,21,3078,On Time,0,Medium,Medium
F,Flight,4,5,208,3,medium,M,23,2056,On Time,0,Medium,Light
D,Flight,3,2,209,5,medium,F,12,3054,On Time,0,Medium,Medium
F,Flight,5,1,182,2,medium,F,23,2707,On Time,0,Medium,Light
A,Flight,4,5,148,2,medium,F,43,1087,On Time,0,High,Light
B,Flight,2,3,183,2,medium,F,52,3199,On Time,0,High,Medium
C,Flight,3,5,229,6,medium,M,22,2717,On Time,0,Medium,Light
F,Flight,5,5,115,5,low,F,26,1692,On Time,0,Medium,Light
D,Flight,4,2,136,3,low,F,65,1962,On Time,0,High,Light
F,Flight,4,4,212,3,low,M,21,3307,On Time,0,Medium,Medium
A,Flight,4,3,171,3,low,F,24,1304,On Time,0,Medium,Light
B,Flight,3,1,151,2,low,M,60,1925,On Time,0,High,Light
C,Flight,3,1,205,3,medium,M,39,3062,On Time,0,High,Medium
F,Flight,5,4,147,3,medium,M,23,1132,On Time,0,Medium,Light
D,Flight,3,3,155,3,low,F,29,1712,On Time,0,Medium,Light
F,Flight,5,4,165,3,low,F,20,1150,On Time,0,Medium,Light
A,Flight,5,5,230,3,low,F,32,3249,On Time,0,High,Medium
B,Flight,2,4,181,4,medium,M,13,2309,On Time,0,Medium,Light
C,Flight,5,3,234,2,low,F,55,3308,On Time,0,High,Medium
F,Flight,4,4,149,3,low,M,34,1977,On Time,0,High,Light
D,Flight,5,5,156,2,low,M,44,1561,On Time,0,High,Light
F,Flight,4,2,172,3,medium,F,59,1858,On Time,0,High,Light
A,Flight,4,4,270,3,low,M,12,3279,On Time,0,Medium,Medium
B,Ship,4,1,206,3,medium,M,23,3807,On Time,0,Medium,Medium
C,Ship,4,3,211,4,medium,M,40,3106,On Time,0,High,Medium
F,Ship,3,2,136,4,low,M,62,1090,On Time,0,High,Light
D,Ship,5,1,186,2,high,F,52,3981,On Time,0,High,Medium
F,Ship,3,1,202,2,medium,M,62,3398,On Time,0,High,Medium
A,Ship,4,2,183,3,medium,F,12,3646,On Time,0,Medium,Medium
B,Ship,4,4,232,2,low,M,36,2861,On Time,0,High,Light
C,Ship,4,2,147,4,medium,M,52,1129,On Time,0,High,Light
F,Ship,4,3,136,3,medium,M,20,1531,On Time,0,Medium,Light
D,Ship,5,3,127,3,low,F,43,1446,On Time,0,High,Light
F,Ship,4,5,202,2,medium,M,35,3695,On Time,0,High,Medium
A,Ship,3,4,241,2,low,M,57,3671,On Time,0,High,Medium
B,Ship,4,3,222,2,medium,M,55,3833,On Time,0,High,Medium
C,Ship,3,2,183,4,medium,F,12,2777,On Time,0,Medium,Light
F,Ship,4,4,249,3,medium,F,36,3769,On Time,0,High,Medium
D,Ship,3,1,243,4,high,M,59,3838,On Time,0,High,Medium
F,Ship,3,3,163,3,medium,M,9,1257,On Time,0,Low,Light
A,Ship,4,2,165,2,high,M,11,1596,On Time,0,Medium,Light
B,Ship,5,5,266,3,medium,F,53,3089,On Time,0,High,Medium
C,Ship,3,4,193,2,medium,M,48,3909,On Time,0,High,Medium
F,Ship,3,2,154,3,low,F,56,1136,On Time,0,High,Light
D,Ship,3,3,140,3,medium,M,51,1046,On Time,0,High,Light
F,Ship,4,3,272,3,medium,M,38,3705,On Time,0,High,Medium
A,Ship,4,2,143,6,medium,M,20,1654,On Time,0,Medium,Light
B,Ship,4,2,138,3,low,F,30,1805,On Time,0,Medium,Light
C,Ship,4,2,238,2,high,M,17,3358,On Time,0,Medium,Medium
F,Ship,4,5,273,4,medium,F,31,2373,On Time,0,High,Light
D,Ship,3,1,200,2,medium,M,27,2551,On Time,0,Medium,Light
F,Ship,4,5,213,4,low,M,39,2381,On Time,0,High,Light
A,Ship,3,4,224,2,medium,F,15,2701,On Time,0,Medium,Light
B,Ship,4,5,141,3,medium,M,12,1672,On Time,0,Medium,Light
C,Ship,3,3,150,3,low,M,46,1040,On Time,0,High,Light
F,Ship,3,1,192,2,low,M,33,2818,On Time,0,High,Light
D,Ship,5,1,279,4,medium,F,24,3440,On Time,0,Medium,Medium
F,Ship,3,4,246,3,medium,M,30,3748,On Time,0,Medium,Medium
A,Ship,3,4,173,3,medium,M,52,1587,On Time,0,High,Light
B,Ship,4,4,233,4,medium,F,59,2358,On Time,0,High,Light
C,Ship,5,1,274,2,medium,M,24,2423,On Time,0,Medium,Light
F,Ship,4,5,243,4,medium,F,41,2782,On Time,0,High,Light
D,Ship,3,4,197,3,medium,F,56,3427,On Time,0,High,Medium
F,Ship,4,3,140,3,high,F,46,1072,On Time,0,High,Light
A,Ship,3,5,215,3,medium,F,22,2585,On Time,0,Medium,Light
B,Ship,3,4,211,3,medium,M,8,3710,On Time,0,Low,Medium
C,Ship,4,2,220,5,low,M,33,2854,On Time,0,High,Light
F,Ship,3,1,194,4,low,M,64,2026,On Time,0,High,Light
D,Ship,5,1,262,3,medium,F,58,3599,On Time,0,High,Medium
F,Ship,4,4,201,2,low,F,1,3147,On Time,0,Low,Medium
A,Ship,3,5,261,3,medium,M,15,2989,On Time,0,Medium,Light
B,Ship,4,4,191,6,low,F,60,3425,On Time,0,High,Medium
C,Ship,2,5,255,5,medium,F,53,3775,On Time,0,High,Medium
F,Ship,3,2,169,2,high,M,30,1698,On Time,0,Medium,Light
D,Ship,4,5,162,2,medium,M,64,1918,On Time,0,High,Light
F,Ship,2,5,248,6,low,F,62,2750,On Time,0,High,Light
A,Ship,5,3,197,4,low,F,2,2222,On Time,0,Low,Light
B,Ship,5,1,264,3,low,M,6,2882,On Time,0,Low,Light
C,Ship,5,5,260,2,medium,F,55,2791,On Time,0,High,Light
F,Ship,5,3,186,2,medium,F,58,2259,On Time,0,High,Light
D,Ship,4,5,233,4,low,F,44,2551,On Time,0,High,Light
F,Ship,5,1,161,3,low,M,47,1954,On Time,0,High,Light
A,Ship,4,5,188,3,low,F,13,2409,On Time,0,Medium,Light
B,Ship,5,5,171,2,medium,F,22,1695,On Time,0,Medium,Light
C,Ship,2,2,267,3,medium,M,15,2481,On Time,0,Medium,Light
F,Ship,4,3,255,2,high,M,47,2956,On Time,0,High,Light
D,Ship,3,2,132,3,low,F,56,1303,On Time,0,High,Light
F,Ship,5,1,266,3,low,F,31,3157,On Time,0,High,Medium
A,Ship,3,4,198,2,low,M,25,2774,On Time,0,Medium,Light
B,Ship,2,3,247,2,medium,F,62,3127,On Time,0,High,Medium
C,Ship,3,1,140,3,medium,F,65,1291,On Time,0,High,Light
F,Ship,4,3,131,5,low,M,6,1659,On Time,0,Low,Light
D,Ship,5,2,246,3,medium,M,49,3236,On Time,0,High,Medium
F,Ship,3,2,159,3,medium,F,4,1681,On Time,0,Low,Light
A,Ship,3,5,203,2,medium,M,61,3642,On Time,0,High,Medium
B,Ship,4,3,187,4,high,F,29,3141,On Time,0,Medium,Medium
C,Ship,6,2,146,3,low,F,62,1936,On Time,0,High,Light
F,Ship,3,2,234,3,medium,M,39,2099,On Time,0,High,Light
D,Ship,3,4,122,3,high,F,15,1354,On Time,0,Medium,Light
F,Ship,3,3,135,3,low,M,8,1074,On Time,0,Low,Light
A,Ship,3,5,103,3,low,M,3,1403,On Time,0,Low,Light
B,Ship,3,5,257,3,medium,F,19,2173,On Time,0,Medium,Light
C,Ship,4,3,169,2,low,M,2,1399,On Time,0,Low,Light
F,Ship,4,5,159,3,medium,M,18,1808,On Time,0,Medium,Light
D,Ship,4,5,188,3,low,M,38,3031,On Time,0,High,Medium
F,Ship,5,1,136,3,medium,M,19,1420,On Time,0,Medium,Light
A,Ship,5,1,227,3,low,F,19,3007,On Time,0,Medium,Medium
B,Ship,3,5,262,2,low,F,53,3275,On Time,0,High,Medium
C,Ship,2,3,157,2,low,M,45,1965,On Time,0,High,Light
F,Ship,5,3,238,2,medium,F,21,2053,On Time,0,Medium,Light
D,Ship,3,5,152,3,low,M,43,1282,On Time,0,High,Light
F,Ship,3,2,201,3,medium,M,5,2040,On Time,0,Low,Light
A,Ship,3,4,148,2,low,M,54,1778,On Time,0,High,Light
B,Ship,5,2,199,4,low,F,59,2885,On Time,0,High,Light
C,Ship,5,4,215,2,low,F,45,3501,On Time,0,High,Medium
F,Ship,4,5,175,2,low,M,40,1270,On Time,0,High,Light
D,Road,4,3,236,2,high,M,23,3123,On Time,0,Medium,Medium
F,Road,2,5,182,2,medium,F,57,2896,On Time,0,High,Light
A,Road,3,1,251,3,medium,M,42,3698,On Time,0,High,Medium
B,Road,5,2,173,3,low,F,7,1855,On Time,0,Low,Light
C,Road,4,3,225,3,low,F,62,2587,On Time,0,High,Light
F,Road,4,2,167,4,low,F,20,1705,On Time,0,Medium,Light
D,Road,4,1,259,3,low,M,20,2154,On Time,0,Medium,Light
